"","m1a","m2a","m3a"
"Absarokius_abbotti",1.64140158763949,1.61597648927368,1.23761307186989
"Acidomomys_hebeticus",1.53712525082247,1.73607056336747,2.00848245273934
"Aegyptopithecus_zeuxis",3.42496645572696,3.77126107811672,3.87972134960124
"Afradapis_longicristatus",3.12070356987131,3.22353782085773,3.33655506056965
"Aframonius_dieides",2.6303515439943,2.85828373319969,2.96022457063874
"Afrasia_djijidae",1.13240071796496,1.0807537703668,0.956856693620817
"Afropithecus_turkanensis",4.51803919271372,4.9025488442312,5.09558899997642
"Afrotarsius_chatrathi",1.63063074941143,1.48015212303946,1.45127208266984
"Agerinia_marandati",2.08813489474852,2.03143232249348,2.24190843857394
"Agerinia_roselli",2.08665049462551,2.1371103877271,2.06693026774276
"Agerinia_smithorum",2.10751866425173,1.97508052635509,2.11452867838649
"Allenopithecus_nigroviridis",3.3485377407143,3.63813085099332,3.58518970990859
"Allochrocebus_lhoesti",3.37997687260951,3.59915949640427,3.5423041272992
"Allochrocebus_preussi",3.23660828363251,3.48316395181064,3.43951855377197
"Alouatta_belzebul",3.57491271266082,3.72219712348852,3.8291656394845
"Alouatta_caraya",3.46211548197819,3.65046067632452,3.8107048085797
"Alouatta_guariba",3.53151994063864,3.69283398574759,3.8423206759862
"Alouatta_palliatus",3.63555686041501,3.78502147893386,3.83924969696559
"Alouatta_pigra",3.51198762788675,3.67554918894433,3.76420388825266
"Alouatta_seniculus",3.69361613049146,3.86367174742531,3.92495048779695
"Altanius_orlovi",0.114733947463467,0.205714770879416,0.456705601101746
"Altiatlasius_koulchii",1.179499562672,1.51093383757276,0.89725448683206
"Anaptomorphus_westi",1.84227829712717,1.94591014905531,1.72688311325294
"Anchomomys_frontanyensis",0.706460414865821,1.01413732861532,1.04777397847885
"Anemorhysis_natronensis",0.924258901523332,0.940861003357864,0.867765387222756
"Anemorhysis_pattersoni",1.11196030618761,1.10468754685853,1.07410622292518
"Anemorhysis_savagei",0.8845936451309,0.915890651852815,0.866680231320821
"Anemorhysis_sublettensis",0.76313955237998,0.784532045279782,0.706493963421136
"Anemorhysis_wortmani",1.07803158096809,1.09435626559928,1.02126775895274
"Antillothrix_bernensis",3.24306880046567,3.48617558203718,3.31302748595501
"Aotus_azarae",2.31027765147371,2.25097010944318,2.01223279198639
"Aotus_dindensis",2.25744264331742,2.31645641482405,2.06354358622081
"Aotus_lemurinus",2.20216746929837,2.23806361313139,2.02524931259641
"Aotus_nancymaae",2.28670974383576,2.34090395729618,2.16805320003594
"Aotus_nigriceps",2.12912416463229,2.11851200316128,1.8553209507178
"Aotus_trivirgatus",2.22973954088348,2.25119678265097,2.14727346174562
"Aotus_vociferans",2.21375387928743,2.10321910159083,1.86872051036418
"Apidium_bowni",1.80132622817709,1.94297131108873,1.83368041523542
"Apidium_moustafai",2.17950611247341,2.347384487163,2.29651970969018
"Apidium_phiomense",2.4131404621611,2.53581054956344,2.5609172007712
"Arapahovius_advena",1.06566813294876,1.08987048650913,1.17132047205069
"Arapahovius_gazini",1.3804823931961,1.36560020653133,1.23704029827215
"Archaeolemur_edwardsi",4.39458479979321,4.34192605361206,4.14588855539002
"Arcius_fuscus",0.989502159394673,1.00632026630761,0.866806326775247
"Arcius_hookeri",1.64460345466941,1.58792955721083,1.68546509173104
"Arcius_lapparenti",1.62101978288953,1.46746596980637,1.60643821784554
"Arcius_zbyszewskii",0.780813447229176,0.744074805252273,0.915751386453559
"Arctocebus_calabarensis",2.03004702826151,2.05012715401106,2.04323849301588
"Ardipithecus_ramidus",4.72061716184693,5.02567167892237,4.96284463025991
"Arsinoea_kallimos",1.73068728893893,1.82227558009374,1.49130484052217
"Aseanpithecus_myanmarensis",3.09495121321452,3.22494705864421,3.19698598084989
"Ateles_belzebuth",3.17805383034795,3.20680324363393,2.89352649868666
"Ateles_fusciceps",3.30352574915519,3.29805662274264,3.07823349506573
"Ateles_geoffroyi",3.29794196491121,3.31716981846402,3.13995826775909
"Ateles_marginatus",3.18552584518665,3.25833689374911,2.88480071284671
"Ateles_paniscus",3.28575870176644,3.26725688679908,3.07713142441895
"Australopithecus_afarensis",5.09654384097002,5.23832635645729,5.33031009758421
"Australopithecus_africanus",5.18275498840561,5.3962900835245,5.38423069691787
"Australopithecus_anamensis",5.04385728158716,5.17911144406816,5.24296743406648
"Australopithecus_deyiremeda",5.06739362791486,5.31929577293323,5.35526464698979
"Australopithecus_sediba",5.01495926557631,5.25436547901885,5.31143100569342
"Avahi_laniger",2.51102893432667,2.4213698984531,2.455514269799
"Avahi_occidentalis",2.04216948865454,2.10425426900736,2.18997939426925
"Aycrossia_lovei",1.64093657949347,1.80395079323825,1.52551990541163
"Babakotia_radofilai",3.90348349295854,3.99669715723365,4.18403443949162
"Bahinia_banyueae",1.88733645172644,2.07428082937342,1.77742103549199
"Bahinia_pondaungensis",1.97408102602201,2.13014666135429,1.90560672774929
"Berruvius_lasseroni",0.0740865433526982,0.0918496536298788,-0.10186662640357
"Biretia_fayumensis",1.37813617341843,1.42898128224966,1.21045177042365
"Biretia_megalopsis",1.54988295933367,1.57499699981221,1.2809709126763
"Biretia_piveteaui",1.55814461804655,1.6563596655435,1.32107560867746
"Brachyteles_arachnoides",3.79925071530463,3.82437469836889,3.67604569478292
"Brachyteles_hypoxanthus",3.54663904788311,3.49610971718542,3.28119610941214
"Branisella_boliviana",2.0775537191971,2.09616976510169,1.86528870251617
"Brontomomys_cerutti",2.45976569691222,2.46363840900488,2.45479102588338
"Bugtipithecus_inexpectans",1.70744409112891,1.87639516119066,1.82928981220263
"Cacajao_calvus",2.99504383719006,2.98922134499258,2.76198357882937
"Cacajao_melanocephalus",2.92674065206626,2.99645168971212,2.82199286455272
"Callicebus_personatus",2.67147639247103,2.78059682164731,2.68119973201322
"Callimico_goeldii",2.08753668739419,1.93786429638889,1.48208442576107
"Callithrix_aurita",1.6559894775713,1.35999337766927,0.853385936552035
"Callithrix_jacchus",1.57563980368388,1.20607559191764,0.710355886454727
"Callithrix_kuhlii",1.5721098071681,1.34377822401681,0.824054237457563
"Callithrix_penicillata",1.75226959485414,1.38906746563386,0.895742703874285
"Cantius_abditus",2.92881592763046,3.18210810067599,3.394298639971
"Cantius_eppsi",2.51310766588585,2.61833885479502,2.71180362922003
"Cantius_frugivorus",2.72998617211665,2.82203492117134,2.95217215880161
"Cantius_mckennai",2.53231775502702,2.67511370085595,2.66261231800462
"Cantius_nunienus",2.67807369496787,2.83499998236118,2.95374032406992
"Cantius_ralstoni",2.458622563141,2.55988656311907,2.65380518624981
"Cantius_torresi",2.32224096252428,2.44679918711177,2.40902964587115
"Carlito_syrichta",1.96527767645716,2.01564367847911,2.27155213847375
"Carlocebus_carmenensis",2.99389196828013,2.95839358028974,2.95864150291081
"Carlocebus_intermedius",3.0750315882964,3.04830533564445,2.99736344247433
"Carpocristes_rosei",0.364643113587909,0.318453731118535,0.683096844706444
"Carpodaptes_aulacodon",0.777028664540647,0.594707107746693,0.741937344729377
"Carpodaptes_cygneus",0.527486064659098,0.512177834117354,0.688596843461127
"Carpodaptes_hazelae",0.680215850583987,0.567791673279211,0.794758293713367
"Carpodaptes_hobackensis",0.518793793415168,0.523248143764548,0.683096844706444
"Carpodaptes_jepseni",1.17248213723457,1.06125650212434,1.26912465803816
"Carpolestes_dubius",1.16738084928497,1.00581598219029,1.30347102023327
"Carpolestes_nigridens",1.01351826430179,0.831942472304009,1.16938135955632
"Carpolestes_simpsoni",0.836729692493545,0.65715724282679,1.010564010646
"Catopithecus_browni",2.21507391666666,2.11059673861899,1.81259310590528
"Cebuella_pygmaea",0.943918508713775,0.664580858619824,0.141148587143615
"Cebupithecia_sarmientoi",2.72925479189827,2.74329018198516,2.58346452904163
"Cebus_albifrons",3.01813568255023,2.90389106988841,2.48020812900645
"Cebus_capucinus",3.13203544262613,2.98609536324566,2.76437965852606
"Cebus_olivaceus",2.93618129392746,2.75206708651898,2.45095121735043
"Cephalopachus_bancanus",1.85889877206568,1.96150224381515,1.98146113331963
"Cercocebus_agilis",3.85445468661677,4.15480555895469,4.14343280292347
"Cercocebus_atys",3.82476243914428,4.11501589140648,4.17622470166262
"Cercocebus_galeritus",3.61429059712286,3.88751307615016,3.83945231259331
"Cercocebus_torquatus",3.9432286041991,4.20049439646355,4.30125885791473
"Cercopithecus_ascanius",2.85177906104103,3.1060519721118,2.92444352077954
"Cercopithecus_cephus",3.10807383032638,3.35816943802913,3.24900861283385
"Cercopithecus_denti",2.88151038946369,3.18305242762982,2.97855783354597
"Cercopithecus_diana",3.27443752529364,3.5112188835736,3.42972667058209
"Cercopithecus_erythrogaster",3.11381403002097,3.38218217760025,3.26304198144013
"Cercopithecus_erythrotis",3.05821941648512,3.31947973671046,3.23482491788586
"Cercopithecus_kandti",3.13089233917033,3.41698043802826,3.22287083418108
"Cercopithecus_mitis",3.35131810720462,3.62077438607046,3.53926488877045
"Cercopithecus_mona",3.1232857087425,3.44413676670587,3.40061330307549
"Cercopithecus_neglectus",3.29840026100541,3.60515301165324,3.55668045916755
"Cercopithecus_nictitans",3.23665616179936,3.54757222889783,3.4596737455543
"Cercopithecus_petaurista",3.14491405443,3.4348274585834,3.35954019128876
"Cercopithecus_pogonias",3.11291917195991,3.42887528407797,3.33851300645159
"Cercopithecus_wolfi",3.02681367670013,3.35639541405375,3.30801371582209
"Chalicomomys_antelucanus",-0.188098209571409,-0.157824085193567,-0.0859937131669762
"Cheirogaleus_major",2.13781190633873,2.21368160891643,2.10805766673111
"Cheirogaleus_medius",1.30101144686389,1.37227731409322,1.32888662415188
"Cheirogaleus_sibreei",1.66995786994989,1.69656048324147,1.72046054799394
"Cheracebus_torquatus",2.44241138112506,2.45832248475643,2.23377506193362
"Chiromyoides_caesor",1.70794298313494,1.92246969861118,2.30165966491754
"Chiromyoides_campanicus",1.94688884854412,2.34812920872986,2.39665195474416
"Chiromyoides_major",2.18329467180272,2.30688154657276,2.43682748280016
"Chiromyoides_mauberti",1.59220019294776,1.90045940281793,2.34358200554858
"Chiromyoides_minor",1.58903110265644,1.66978014144026,1.96105207217961
"Chiropotes_albinasus",2.66001381943402,2.59559164023822,2.47261613357656
"Chiropotes_satanas",2.63127056597091,2.57337879995729,2.34758105528743
"Chlorocebus_aethiops",3.25885633557262,3.5561138644127,3.50090502959393
"Chlorocebus_pygerythrus",3.33862286837569,3.64231726616123,3.54140192172868
"Chumashius_balchi",1.29883379234965,1.45206454532401,1.43046123528779
"Colobus_angolensis",3.61909651643247,3.836800098119,4.00522395883567
"Colobus_guereza",3.71462268349847,3.92582355366714,4.16760699948682
"Colobus_polykomos",3.692529396961,3.84766964474732,4.07180493303686
"Colobus_satanas",3.67515211696161,3.7929791374789,3.99113424699967
"Copelemur_australotutus",2.8338278610843,2.89485060177274,3.01286467229429
"Copelemur_praetutus",2.5983890931149,2.67541681048751,2.75684036527164
"Copelemur_tutus",3.13122860941249,3.18586248416329,3.30961585631145
"Darwinius_masillae",2.53011899260955,2.60657103215236,2.71928770561053
"Daubentonia_madagascariensis",2.47840001525586,2.76472079108656,2.25545229088365
"Dendropithecus_macinnesi",3.60983624677348,3.84759114526876,3.99120380330259
"Dionysopithecus_shuangouensis",3.3394007770458,3.5918177412708,3.49711343849198
"Dolichocebus_gaimanensis",2.60335983121691,2.55769813074734,2.36563555381863
"Donrussellia_gallica",0.401278355879784,0.669925635419084,0.758047823623457
"Donrussellia_provincialis",1.37872579161994,1.45185839790316,1.4153676086056
"Dryomomys_szalayi",0.0635380208039877,-0.0120725812342692,0.118316226818042
"Dryopithecus_fontani",4.54464448839901,4.75694662095388,4.73171472731305
"Dyseolemur_pacificus",1.08309213846306,1.18802694214064,1.32774144600308
"Edworthia_lerbekmoi",0.628608659422374,0.806475865866948,0.916290731874155
"Ekgmowechashala_philotau",2.54867606146119,2.28510647198205,1.99160839531204
"Elphidotarsius_florencae",0.731763235010569,0.731150391224338,0.900407685701152
"Elphidotarsius_russelli",0.664846466593362,0.682710251745353,0.755793287210216
"Elphidotarsius_shotgunensis",0.587786664902119,0.602642979730736,0.682196553619631
"Elphidotarsius_wightoni",0.245431296294833,0.0953101798043249,0.636576829071551
"Equatorius_africanus",4.36268935363279,4.78290983327693,4.96340391439082
"Erythrocebus_patas",3.58847369130054,3.93020638514378,3.86528746656979
"Eulemur_albifrons",3.09028158215104,3.08294729580652,2.74818753249415
"Eulemur_cinereiceps",3.16707437444387,3.14859102319872,2.78226089064699
"Eulemur_collaris",3.18826196625036,3.15273602236366,2.75238601492226
"Eulemur_coronatus",2.83018702348175,2.74960935745191,2.24435127537939
"Eulemur_fulvus",3.20781487750878,3.21482797394104,2.95077760161408
"Eulemur_macaco",3.20557291744234,3.18187368589525,2.76271592744312
"Eulemur_mongoz",2.81376065552432,2.73754507545439,2.4683416329133
"Eulemur_rubriventer",3.09537648221571,3.16762931301206,2.76422047256926
"Eulemur_rufifrons",3.16076161557774,3.10067576727025,2.76494816991819
"Eulemur_sanfordi",3.17255170052155,3.17905333068103,2.65766851738715
"Euoticus_elegantulus",1.12329579552597,1.36907037626571,1.33585123155558
"Foxomomys_fremdi",-0.0763412332567226,-0.0377018671840114,0.106893739668951
"Foxomomys_vossae",-0.127833371509885,-0.0885446744552449,0.0509718822472801
"Galago_matschiei",1.24237318109531,1.28615850645341,1.33181494379738
