data,tree
Alouatta_fusca,Alouatta_guariba
Alouatta_palliata_aequatorialis,Alouatta_palliatus
Alouatta_seniculus_seniculus,Alouatta_seniculus
Aotus_trivirgatus_lemurinus,Aotus_lemurinus
Aotus_trivirgatus_trivirgatus,Aotus_trivirgatus
Ateles_geoffroyi_vellerosus,Ateles_geoffroyi
Ateles_paniscus_chameck,Ateles_paniscus
Callicebus_moloch_discolor,Plecturocebus_moloch
Callicebus_torquatus_lugens,Cheracebus_torquatus
Callithrix_jacchus_jacchus,Callithrix_jacchus
Callithrix_jacchus_penicillata,Callithrix_penicillata
Cebuella_pygmaea_pymaea,Cebuella_pygmaea
Cebus_apella_libidinosus,Sapajus_apella
Cebus_capucinus_capucinus,Cebus_capucinus
Cercocebus_agilis_agilis,Cercocebus_agilis
Cercopithecus_aethiops,Chlorocebus_aethiops
Cercopithecus_aethiops_hilgerti,Chlorocebus_aethiops
Cercopithecus_aethiops_ngamiensis,Chlorocebus_aethiops
Cercopithecus_ascanius_whitesidei,Chlorocebus_aethiops
Cercopithecus_denti,Cercopithecus_pogonias
Cercopithecus_diana_diana,Cercopithecus_diana
Cercopithecus_diana_roloway,Cercopithecus_diana
Cercopithecus_eryhtrogaster,Cercopithecus_erythrogaster
Cercopithecus_erythrotis_camerunensis,Cercopithecus_erythrotis
Cercopithecus_lhoesti_lhoesti,Allochrocebus_lhoesti
Cercopithecus_mitis_kolbi,Cercopithecus_mitis
Cercopithecus_mitis_stuhlmanni,Cercopithecus_mitis
Cercopithecus_nictitans_nictitans,Cercopithecus_nictitans
Cercopithecus_petaurista_petaurista,Cercopithecus_petaurista
Cercopithecus_pogonias_grayi,Cercopithecus_pogonias
Cercopithecus_pogonias_pogonias,Cercopithecus_pogonias
Cercopithecus_preussi_preussi,Allochrocebus_preussi
Cercopithecus_wolfi_wolfi,Cercopithecus_wolfi
Chiropotes_satanas_chiropotes,Chiropotes_satanas
Colobus_badius_oustaletti,Piliocolobus_badius
Colobus_guereza_caudatus,Colobus_guereza
Colobus_guereza_occidentalis,Colobus_guereza
Colobus_kirkii,Piliocolobus_kirkii
Colobus_polykomos_angolensis,Colobus_angolensis
Colobus_polykomos_polykomos,Colobus_polykomos
Hylobates_concolor,Nomascus_concolor
Hylobates_hoolock,Hoolock_hoolock
Hylobates_klossi,Hylobates_klossii
Hylobates_lar_agilis,Hylobates_agilis
Hylobates_lar_carpenteri,Hylobates_lar
Hylobates_pileata,Hylobates_pileatus
Hylobatges_syndactylus_syndactylus,Symphalangus_syndactylus
Kasi_Johni,Semnopithecus_johnii
Lagothrix_lagothricha_poepiggei,Lagothrix_lagotricha
Lophocebus_albigena_aterrimus,Lophocebus_aterrimus
Lophocebus_albigena_johnstoni,Lophocebus_albigena
Macaca_brunescens,Macaca_ochreata
Macaca_fascicularis_fascicularis,Macaca_fascicularis
Macaca_fuscata_fuscata,Macaca_fuscata
Macaca_fuscata_yakui,Macaca_fuscata
Macaca_mulatta_mcmahonni,Macaca_mulatta
Macaca_mulatta_mulatta,Macaca_mulatta
Macaca_mulatta_villosa,Macaca_mulatta
Macaca_nemestrina_leonensis,Macaca_nemestrina
Macaca_nemestrina_nemestrina,Macaca_nemestrina
Macaca_tonkeanna,Macaca_tonkeana
Mandrillus_leucophaeus_leucophaeus,Mandrillus_leucophaeus
Miopithecus_talapoin_ansorgei,Miopithecus_talapoin
Miopithecus_talapoin_talapoin,Miopithecus_talapoin
Pan_troglodytes_schweinfurthi,Pan_troglodytes_schweinfurthii
Papio_cynocephalus_cynocephalus,Papio_cynocephalus
Papio_cynocephalus_kindae,Papio_cynocephalus
Pongo_abelli,Pongo_abelii
Presbytis_melalophos_chrysomelas,Presbytis_melalophos
Presbytis_vetulus,Semnopithecus_vetulus
Presbytis_potenzianni,Presbytis_potenziani
Pygathricx_nemaeus_nigriceps,Pygathrix_nemaeus
Pygathrix_nemaeus_nemaeus,Pygathrix_nemaeus
Rhinopithecus_roxellana_bieti,Rhinopithecus_bieti
Rhinopithecus_roxellana_roxellana,Rhinopithecus_roxellana
Saguinus_fuscicollis_nigriceps,Leontocebus_fuscicollis
Saguinus_midas_niger,Saguinus_niger
Saguinus_oedipus_geoffroyi,Saguinus_geoffroyi
Saimiri_oerstedi_oerstedi,Saimiri_oerstedii
Saimiri_sciureus_boliviensis,Saimiri_boliviensis
Semnopithecus_entellus lianna,Semnopithecus_entellus
Semnopithecus_entellus_achates,Semnopithecus_entellus
Semnopithecus_entellus_aeneus,Semnopithecus_entellus
Semnopithecus_entellus_ajax,Semnopithecus_entellus
Semnopithecus_entellus_anchises,Semnopithecus_entellus
Semnopithecus_entellus_elissa,Semnopithecus_entellus
Semnopithecus_entellus_entellus,Semnopithecus_entellus
Semnopithecus_entellus_hector,Semnopithecus_entellus
Semnopithecus_entellus_iulus,Semnopithecus_entellus
Semnopithecus_entellus_priam,Semnopithecus_entellus
Semnopithecus_entellus_primellus,Semnopithecus_entellus
Semnopithecus_entellus_schistecea,Semnopithecus_entellus
Semnopitheecus_entellus_thersites,Semnopithecus_entellus
Trachypithecus_cristata_pyrrhus,Trachypithecus_cristatus
Trachypithecus_obscura_obscura,Trachypithecus_obscurus
Trachypithecus_pilatus_shortridgei,Trachypithecus_pileatus
Procolobus (Piliocolobus) rufomitratus oustaleti,Piliocolobus_rufomitratus
Procolobus (Piliocolobus) rufomitratus tholloni,Piliocolobus_tholloni
Microcolobus tugenensis,Microcolobus_tugenensis
Pygathrix (Rhinopithecus) lantianensis,Rhinopithecus_lantianensis
Pygathrix (Rhinopithecus) brelichi,Rhinopithecus_brelichi
Semnopithecus (Trachypithecus) [obscurus] phayrei,Trachypithecus_phayrei
Mesopithecus pentelicus,Mesopithecus_pentelicus
Cercocebus torquatus atys,Cercocebus_atys
Miopithecus ogouensis,Miopithecus_ogouensis
Cercopithecus mitis kandti,Cercopithecus_kandti
Cercopithecus ascanius ascanius,Cercopithecus_ascanius
Cercopithecus ascanius katangae,Cercopithecus_ascanius
Cercopithecus pogonias denti,Cercopithecus_denti
Macaca thibetana,Macaca_thibetana
Macaca arctoides,Macaca_arctoides
Cf. Gorgopithecus major,Gorgopithecus_major
Gorgopithecus major,Gorgopithecus_major
Parapapio ado,Parapapio_ado
Parapapio lothagamensis,Parapapio_lothagamensis
Parapapio jonesi,Parapapio_jonesi
Parapapio whitei,Parapapio_whitei
Theropithecus (T.) oswaldi leakeyi,Theropithecus_oswaldi
Cf. Theropithecus (T.) oswaldi,Theropithecus_oswaldi
Theropithecus (T.) oswaldi oswaldi,Theropithecus_oswaldi
Theropithecus (T.) oswaldi cf. oswaldi,Theropithecus_oswaldi
Theropithecus (T.) oswaldi cf. leakeyi,Theropithecus_oswaldi
Theropithecus (T.) oswaldi delsoni,Theropithecus_oswaldi
Theropithecus (T.) oswaldi darti,Theropithecus_oswaldi
Theropithecus (T.) oswaldi cf. darti,Theropithecus_oswaldi
Theropithecus (T.) cf. oswaldi darti,Theropithecus_oswaldi
Theropithecus ?(Omopithecus) baringensis,TheropithecusOmopithecus_baringensis
