,tax,Species,Genus,m1bl,m1md,m2bl,m2md,m3bl,m3md,m1a,m2a,m3a,M2,M3
1,FOSSIL,Absarokius_abbotti,Absarokius,2.16,2.39,2.16,2.33,1.585,2.175,5.1624,5.0328,3.447375,0.974895397,0.667785332
2,FOSSIL,Acidomomys_hebeticus,Acidomomys,2.04,2.28,2.27,2.5,2.07,3.6,4.6512,5.675,7.452,1.220115239,1.602167183
3,FOSSIL,Aegyptopithecus_zeuxis,Aegyptopithecus,5.032166667,5.714,6.0695,6.522,5.24875,5.6125,28.75380033,39.585279,29.45860938,1.37669729,1.024511857
4,FOSSIL,Afrasia_djijidae,Afrasia,NA,NA,1.41,2.09,1.27,2.05,NA,2.9469,2.6035,NA,NA
5,FOSSIL,Afropithecus_turkanensis,Afropithecus,NA,10.4,10.875,12.38,11.5,14.2,NA,134.6325,163.3,NA,NA
6,FOSSIL,Agerinia_marandati,Agerinia,2.37,3.405,2.5,3.05,2.435,3.865,8.06985,7.625,9.411275,0.94487506,1.166226758
7,FOSSIL,Agerinia_roselli,Agerinia,2.487,3.24,2.623,3.231,2.12,3.726666667,8.05788,8.474913,7.900533333,1.05175468,0.980472945
8,FOSSIL,Agerinia_smithorum,Agerinia,2.52,3.265,2.31,3.12,NA,NA,8.2278,7.2072,NA,0.875957121,NA
9,Cercopithecini,Allenopithecus_nigroviridis,Allenopithecus,4.791428571,5.94,5.720625,6.64625,5.579375,6.463125,28.46108571,38.02070391,36.06019805,1.33588382,1.267000086
10,Cercopithecini,Allochrocebus_lhoesti,Allochrocebus,4.592,6.395925926,5.386666667,6.788518519,5.223461538,6.613703704,29.37009185,36.56748642,34.54642692,1.245058633,1.17624511
11,Cercopithecini,Allochrocebus_preussi,Allochrocebus,4.274285714,5.953571429,5.032857143,6.47,4.961428571,6.282857143,25.44726531,32.56258571,31.17194694,1.279610415,1.224962548
12,Atelidae,Alouatta_belzebul,Alouatta,5.031578947,7.0935,5.4105,7.6435,5.4745,8.407,35.69150526,41.35515675,46.0241215,1.158683458,1.289497912
13,Atelidae,Alouatta_caraya,Alouatta,4.8545,6.568,5.2535,7.327,5.1525,8.769,31.884356,38.4923945,45.1822725,1.207250179,1.417067119
